repayment_id,customer_id,loan_id,installment_no,due_date,paid_date,scheduled_amount,paid_amount,days_past_due,is_late_payment,is_default_event
134,5,L00005_1,8,2022-07-21,2022-07-28,525,525,7,0,0
135,5,L00005_1,9,2022-08-20,2022-09-11,290,290,22,1,0
136,5,L00005_1,10,2022-09-19,2022-09-24,200,200,5,0,0
137,5,L00005_1,11,2022-10-19,2022-10-30,168,168,11,0,0
138,5,L00005_1,12,2022-11-18,2022-11-21,354,354,3,0,0
139,5,L00005_1,13,2022-12-18,2023-01-14,837,837,27,1,0
140,5,L00005_1,14,2023-01-17,2023-01-17,743,743,0,0,0
141,5,L00005_1,15,2023-02-16,2023-02-16,182,182,0,0,0
142,5,L00005_1,16,2023-03-18,2023-04-05,346,346,18,1,0
143,5,L00005_1,17,2023-04-17,2023-04-19,772,772,2,0,0
144,5,L00005_1,18,2023-05-17,2023-05-23,707,707,6,0,0
145,5,L00005_1,19,2023-06-16,2023-06-23,354,354,7,0,0
146,5,L00005_1,20,2023-07-16,2023-07-27,548,548,11,0,0
147,5,L00005_1,21,2023-08-15,2023-08-15,125,125,0,0,0
148,5,L00005_1,22,2023-09-14,2023-10-02,380,380,18,1,0
149,5,L00005_1,23,2023-10-14,2023-10-14,614,614,0,0,0
150,5,L00005_1,24,2023-11-13,2023-11-28,764,764,15,0,0
151,6,L00006_1,1,2022-01-03,2022-01-03,151,151,0,0,0
152,6,L00006_1,2,2022-02-02,2022-02-09,325,325,7,0,0
153,6,L00006_1,3,2022-03-04,2022-03-12,734,734,8,0,0
154,6,L00006_1,4,2022-04-03,2022-04-03,194,194,0,0,0
155,6,L00006_1,5,2022-05-03,2022-05-03,893,893,0,0,0
156,6,L00006_1,6,2022-06-02,2022-06-02,741,741,0,0,0
157,6,L00006_1,7,2022-07-02,2022-07-08,198,198,6,0,0
158,6,L00006_1,8,2022-08-01,2022-08-14,852,852,13,0,0
159,6,L00006_1,9,2022-08-31,2022-08-31,354,354,0,0,0
160,6,L00006_1,10,2022-09-30,2022-10-06,154,154,6,0,0
161,6,L00006_1,11,2022-10-30,2022-10-30,815,815,0,0,0
162,6,L00006_1,12,2022-11-29,2022-12-13,533,533,14,0,0
163,6,L00006_1,13,2022-12-29,2022-12-29,745,745,0,0,0
164,6,L00006_1,14,2023-01-28,2023-02-15,188,188,18,1,0
165,6,L00006_1,15,2023-02-27,2023-03-20,626,626,21,1,0
166,6,L00006_1,16,2023-03-29,2023-03-29,884,884,0,0,0
167,6,L00006_1,17,2023-04-28,2023-04-28,383,383,0,0,0
168,6,L00006_1,18,2023-05-28,2023-06-16,559,559,19,1,0
169,6,L00006_1,19,2023-06-27,2023-07-03,338,338,6,0,0
170,6,L00006_1,20,2023-07-27,2023-07-27,634,634,0,0,0
171,6,L00006_1,21,2023-08-26,2023-08-31,242,242,5,0,0
172,6,L00006_1,22,2023-09-25,2023-10-08,684,684,13,0,0
173,6,L00006_1,23,2023-10-25,2023-11-14,900,900,20,1,0
174,6,L00006_1,24,2023-11-24,2023-11-24,853,853,0,0,0
175,6,L00006_2,1,2022-06-19,2022-06-19,594,594,0,0,0
176,6,L00006_2,2,2022-07-19,2022-07-19,373,373,0,0,0
177,6,L00006_2,3,2022-08-18,2022-09-02,150,150,15,0,0
178,6,L00006_2,4,2022-09-17,2022-09-24,836,836,7,0,0
179,6,L00006_2,5,2022-10-17,2022-10-17,631,631,0,0,0
180,6,L00006_2,6,2022-11-16,2022-11-16,781,781,0,0,0
181,6,L00006_2,7,2022-12-16,2022-12-16,112,112,0,0,0
182,6,L00006_2,8,2023-01-15,2023-01-31,330,330,16,1,0
183,6,L00006_2,9,2023-02-14,2023-02-14,379,379,0,0,0
184,6,L00006_2,10,2023-03-16,2023-03-23,748,748,7,0,0
185,6,L00006_2,11,2023-04-15,2023-05-04,314,314,19,1,0
186,6,L00006_2,12,2023-05-15,2023-05-15,684,684,0,0,0
187,6,L00006_2,13,2023-06-14,2023-06-14,537,537,0,0,0
188,6,L00006_2,14,2023-07-14,2023-07-25,619,619,11,0,0
189,6,L00006_2,15,2023-08-13,2023-08-13,899,899,0,0,0
190,6,L00006_2,16,2023-09-12,2023-09-17,433,433,5,0,0
191,6,L00006_2,17,2023-10-12,2023-10-12,846,846,0,0,0
192,6,L00006_2,18,2023-11-11,2023-11-26,128,128,15,0,0
193,6,L00006_2,19,2023-12-11,2023-12-11,691,691,0,0,0
194,6,L00006_2,20,2024-01-10,2024-01-17,610,610,7,0,0
195,6,L00006_2,21,2024-02-09,2024-02-17,518,518,8,0,0
196,6,L00006_2,22,2024-03-10,2024-03-10,773,773,0,0,0
197,6,L00006_2,23,2024-04-09,2024-04-15,443,443,6,0,0
198,6,L00006_2,24,2024-05-09,2024-05-18,882,882,9,0,0
199,7,L00007_1,1,2021-03-17,2021-03-17,577,577,0,0,0
200,7,L00007_1,2,2021-04-16,2021-04-28,576,576,12,0,0
201,7,L00007_1,3,2021-05-16,2021-05-20,530,530,4,0,0
202,7,L00007_1,4,2021-06-15,2021-06-15,125,125,0,0,0
203,7,L00007_1,5,2021-07-15,2021-07-15,600,600,0,0,0
204,7,L00007_1,6,2021-08-14,2021-08-14,510,510,0,0,0
205,7,L00007_1,7,2021-09-13,2021-09-29,843,843,16,1,0
206,7,L00007_1,8,2021-10-13,2021-10-17,825,825,4,0,0
207,7,L00007_1,9,2021-11-12,2021-11-28,166,166,16,1,0
208,7,L00007_1,10,2021-12-12,2021-12-12,469,469,0,0,0
209,7,L00007_1,11,2022-01-11,2022-01-11,562,562,0,0,0
210,7,L00007_1,12,2022-02-10,2022-02-19,534,534,9,0,0
211,8,L00008_1,1,2022-05-16,2022-05-31,794,794,15,0,0
212,8,L00008_1,2,2022-06-15,2022-06-27,771,771,12,0,0
213,8,L00008_1,3,2022-07-15,2022-07-17,582,582,2,0,0
214,8,L00008_1,4,2022-08-14,2022-08-14,320,320,0,0,0
215,8,L00008_1,5,2022-09-13,2022-09-13,269,269,0,0,0
216,8,L00008_1,6,2022-10-13,2022-10-16,240,240,3,0,0
217,8,L00008_1,7,2022-11-12,2022-11-16,734,734,4,0,0
218,8,L00008_1,8,2022-12-12,2022-12-12,246,246,0,0,0
219,8,L00008_1,9,2023-01-11,2023-01-21,684,684,10,0,0
220,8,L00008_1,10,2023-02-10,2023-02-10,757,757,0,0,0
221,8,L00008_1,11,2023-03-12,2023-04-04,868,868,23,1,0
222,8,L00008_1,12,2023-04-11,2023-04-18,465,465,7,0,0
223,8,L00008_1,13,2023-05-11,2023-05-25,660,660,14,0,0
224,8,L00008_1,14,2023-06-10,2023-06-10,336,336,0,0,0
225,8,L00008_1,15,2023-07-10,2023-07-25,162,162,15,0,0
226,8,L00008_1,16,2023-08-09,2023-08-09,477,477,0,0,0
227,8,L00008_1,17,2023-09-08,2023-09-08,287,287,0,0,0
228,8,L00008_1,18,2023-10-08,2023-10-08,578,578,0,0,0
229,8,L00008_1,19,2023-11-07,2023-11-11,208,208,4,0,0
230,8,L00008_1,20,2023-12-07,2023-12-07,739,739,0,0,0
231,8,L00008_1,21,2024-01-06,2024-01-08,785,785,2,0,0
232,8,L00008_1,22,2024-02-05,2024-02-08,897,897,3,0,0
233,8,L00008_1,23,2024-03-06,2024-03-12,775,775,6,0,0
234,8,L00008_1,24,2024-04-05,2024-04-05,756,756,0,0,0
235,9,L00009_1,1,2021-02-18,2021-02-22,376,376,4,0,0
236,9,L00009_1,2,2021-03-20,2021-04-04,691,691,15,0,0
237,9,L00009_1,3,2021-04-19,2021-04-21,840,840,2,0,0
238,9,L00009_1,4,2021-05-19,2021-05-28,171,171,9,0,0
239,9,L00009_1,5,2021-06-18,2021-07-08,429,429,20,1,0
240,9,L00009_1,6,2021-07-18,2021-07-20,191,191,2,0,0
241,9,L00009_1,7,2021-08-17,2021-08-18,655,655,1,0,0
242,9,L00009_1,8,2021-09-16,2021-09-23,499,499,7,0,0
243,9,L00009_1,9,2021-10-16,2021-10-16,421,421,0,0,0
244,9,L00009_1,10,2021-11-15,2021-11-15,468,468,0,0,0
245,9,L00009_1,11,2021-12-15,2021-12-15,616,616,0,0,0
246,9,L00009_1,12,2022-01-14,2022-01-14,477,477,0,0,0
247,10,L00010_1,1,2021-09-16,2021-09-16,677,677,0,0,0
248,10,L00010_1,2,2021-10-16,2021-10-27,875,875,11,0,0
249,10,L00010_1,3,2021-11-15,2021-11-15,594,594,0,0,0
250,10,L00010_1,4,2021-12-15,2021-12-15,189,189,0,0,0
251,10,L00010_1,5,2022-01-14,2022-01-14,202,202,0,0,0
252,10,L00010_1,6,2022-02-13,2022-02-15,853,853,2,0,0
253,10,L00010_1,7,2022-03-15,2022-03-15,237,237,0,0,0
254,10,L00010_1,8,2022-04-14,2022-04-23,209,209,9,0,0
255,10,L00010_1,9,2022-05-14,2022-06-06,162,162,23,1,0
256,10,L00010_1,10,2022-06-13,2022-06-14,472,472,1,0,0
257,10,L00010_1,11,2022-07-13,2022-07-17,586,586,4,0,0
258,10,L00010_1,12,2022-08-12,2022-08-17,506,506,5,0,0
259,10,L00010_2,1,2021-07-23,2021-07-23,284,284,0,0,0
260,10,L00010_2,2,2021-08-22,2021-09-08,218,218,17,1,0
261,10,L00010_2,3,2021-09-21,2021-09-21,350,350,0,0,0
262,10,L00010_2,4,2021-10-21,2021-10-21,412,412,0,0,0
263,10,L00010_2,5,2021-11-20,2021-11-23,286,286,3,0,0
264,10,L00010_2,6,2021-12-20,2022-01-11,249,249,22,1,0
265,10,L00010_2,7,2022-01-19,2022-02-05,299,299,17,1,0
266,10,L00010_2,8,2022-02-18,2022-03-05,238,238,15,0,0
267,10,L00010_2,9,2022-03-20,2022-04-16,666,666,27,1,0
268,10,L00010_2,10,2022-04-19,2022-04-19,263,263,0,0,0
269,10,L00010_2,11,2022-05-19,2022-05-19,371,371,0,0,0
270,10,L00010_2,12,2022-06-18,2022-06-27,502,502,9,0,0
271,10,L00010_2,13,2022-07-18,2022-08-03,696,696,16,1,0
272,10,L00010_2,14,2022-08-17,2022-08-20,533,533,3,0,0
273,10,L00010_2,15,2022-09-16,2022-09-16,453,453,0,0,0
274,10,L00010_2,16,2022-10-16,2022-10-16,684,684,0,0,0
275,10,L00010_2,17,2022-11-15,2022-11-15,893,893,0,0,0
276,10,L00010_2,18,2022-12-15,2022-12-19,770,770,4,0,0
277,10,L00010_2,19,2023-01-14,2023-01-17,112,112,3,0,0
278,10,L00010_2,20,2023-02-13,2023-02-13,265,265,0,0,0
279,10,L00010_2,21,2023-03-15,2023-03-19,610,610,4,0,0
280,10,L00010_2,22,2023-04-14,2023-04-16,734,734,2,0,0
281,10,L00010_2,23,2023-05-14,2023-05-21,618,618,7,0,0
282,10,L00010_2,24,2023-06-13,2023-06-18,119,119,5,0,0
283,10,L00010_2,25,2023-07-13,2023-07-14,558,558,1,0,0
284,10,L00010_2,26,2023-08-12,2023-08-12,504,504,0,0,0
285,10,L00010_2,27,2023-09-11,2023-09-22,211,211,11,0,0
286,10,L00010_2,28,2023-10-11,2023-10-12,149,149,1,0,0
287,10,L00010_2,29,2023-11-10,2023-11-10,567,567,0,0,0
288,10,L00010_2,30,2023-12-10,2023-12-20,559,559,10,0,0
289,10,L00010_2,31,2024-01-09,2024-01-09,185,185,0,0,0
290,10,L00010_2,32,2024-02-08,2024-02-12,227,227,4,0,0
291,10,L00010_2,33,2024-03-09,2024-03-09,235,235,0,0,0
292,10,L00010_2,34,2024-04-08,2024-04-08,483,483,0,0,0
293,10,L00010_2,35,2024-05-08,2024-06-01,140,140,24,1,0
294,10,L00010_2,36,2024-06-07,2024-06-08,146,146,1,0,0
295,11,L00011_1,1,2022-07-21,2022-07-26,331,331,5,0,0
296,11,L00011_1,2,2022-08-20,2022-08-29,327,327,9,0,0
297,11,L00011_1,3,2022-09-19,2022-09-19,647,647,0,0,0
298,11,L00011_1,4,2022-10-19,2022-10-19,101,101,0,0,0
299,11,L00011_1,5,2022-11-18,2022-11-28,358,358,10,0,0
300,11,L00011_1,6,2022-12-18,2022-12-24,411,411,6,0,0
301,11,L00011_1,7,2023-01-17,2023-01-22,227,227,5,0,0
302,11,L00011_1,8,2023-02-16,2023-02-16,618,618,0,0,0
303,11,L00011_1,9,2023-03-18,2023-04-07,328,328,20,1,0
304,11,L00011_1,10,2023-04-17,2023-04-17,805,805,0,0,0
305,11,L00011_1,11,2023-05-17,2023-05-28,134,134,11,0,0
306,11,L00011_1,12,2023-06-16,2023-06-27,532,532,11,0,0
307,11,L00011_1,13,2023-07-16,2023-07-23,363,363,7,0,0
308,11,L00011_1,14,2023-08-15,2023-08-15,399,399,0,0,0
309,11,L00011_1,15,2023-09-14,2023-09-14,513,513,0,0,0
310,11,L00011_1,16,2023-10-14,2023-10-14,504,504,0,0,0
311,11,L00011_1,17,2023-11-13,2023-11-13,240,240,0,0,0
312,11,L00011_1,18,2023-12-13,2023-12-24,882,882,11,0,0
313,11,L00011_1,19,2024-01-12,2024-01-30,570,570,18,1,0
314,11,L00011_1,20,2024-02-11,2024-02-18,853,853,7,0,0
315,11,L00011_1,21,2024-03-12,2024-03-24,604,604,12,0,0
316,11,L00011_1,22,2024-04-11,2024-04-13,137,137,2,0,0
317,11,L00011_1,23,2024-05-11,2024-05-13,814,814,2,0,0
318,11,L00011_1,24,2024-06-10,2024-06-15,549,549,5,0,0
319,11,L00011_1,25,2024-07-10,2024-07-10,648,648,0,0,0
320,11,L00011_1,26,2024-08-09,2024-08-27,859,859,18,1,0
321,11,L00011_1,27,2024-09-08,2024-09-11,627,627,3,0,0
322,11,L00011_1,28,2024-10-08,2024-10-08,603,603,0,0,0
323,11,L00011_1,29,2024-11-07,2024-11-07,869,869,0,0,0
324,11,L00011_1,30,2024-12-07,2024-12-09,215,215,2,0,0
325,11,L00011_1,31,2025-01-06,2025-01-15,778,778,9,0,0
326,11,L00011_1,32,2025-02-05,2025-02-06,196,196,1,0,0
327,11,L00011_1,33,2025-03-07,2025-03-20,760,760,13,0,0
328,11,L00011_1,34,2025-04-06,2025-04-14,704,704,8,0,0
329,11,L00011_1,35,2025-05-06,2025-05-06,557,557,0,0,0
330,11,L00011_1,36,2025-06-05,2025-06-18,363,363,13,0,0
331,11,L00011_2,1,2021-05-27,2021-06-01,883,883,5,0,0
332,11,L00011_2,2,2021-06-26,2021-06-27,581,581,1,0,0
333,11,L00011_2,3,2021-07-26,2021-07-26,858,858,0,0,0
334,11,L00011_2,4,2021-08-25,2021-08-29,887,887,4,0,0
335,11,L00011_2,5,2021-09-24,2021-09-24,549,549,0,0,0
336,11,L00011_2,6,2021-10-24,2021-10-31,630,630,7,0,0
337,11,L00011_2,7,2021-11-23,2021-12-05,125,125,12,0,0
338,11,L00011_2,8,2021-12-23,2021-12-23,543,543,0,0,0
339,11,L00011_2,9,2022-01-22,2022-01-22,271,271,0,0,0
340,11,L00011_2,10,2022-02-21,2022-03-15,721,721,22,1,0
341,11,L00011_2,11,2022-03-23,2022-04-06,140,140,14,0,0
342,11,L00011_2,12,2022-04-22,2022-04-24,535,535,2,0,0
343,11,L00011_2,13,2022-05-22,2022-06-16,291,291,25,1,0
344,11,L00011_2,14,2022-06-21,2022-06-21,277,277,0,0,0
345,11,L00011_2,15,2022-07-21,2022-07-26,710,710,5,0,0
346,11,L00011_2,16,2022-08-20,2022-08-26,877,877,6,0,0
347,11,L00011_2,17,2022-09-19,2022-10-06,653,653,17,1,0
348,11,L00011_2,18,2022-10-19,2022-10-19,361,361,0,0,0
349,11,L00011_2,19,2022-11-18,2022-11-18,327,327,0,0,0
350,11,L00011_2,20,2022-12-18,2022-12-31,586,586,13,0,0
351,11,L00011_2,21,2023-01-17,2023-01-17,364,364,0,0,0
352,11,L00011_2,22,2023-02-16,2023-02-21,830,830,5,0,0
353,11,L00011_2,23,2023-03-18,2023-03-18,100,100,0,0,0
354,11,L00011_2,24,2023-04-17,2023-04-27,782,782,10,0,0
355,11,L00011_2,25,2023-05-17,2023-05-17,518,518,0,0,0
356,11,L00011_2,26,2023-06-16,2023-06-28,390,390,12,0,0
357,11,L00011_2,27,2023-07-16,2023-08-08,781,781,23,1,0
358,11,L00011_2,28,2023-08-15,2023-08-15,254,254,0,0,0
359,11,L00011_2,29,2023-09-14,2023-09-14,206,206,0,0,0
360,11,L00011_2,30,2023-10-14,2023-10-27,634,634,13,0,0
361,11,L00011_2,31,2023-11-13,2023-11-17,771,771,4,0,0
362,11,L00011_2,32,2023-12-13,2023-12-13,528,528,0,0,0
363,11,L00011_2,33,2024-01-12,2024-01-24,130,130,12,0,0
364,11,L00011_2,34,2024-02-11,2024-02-16,686,686,5,0,0
365,11,L00011_2,35,2024-03-12,2024-03-28,580,580,16,1,0
366,11,L00011_2,36,2024-04-11,2024-04-19,842,842,8,0,0
367,12,L00012_1,1,2021-08-17,2021-08-17,171,171,0,0,0
368,12,L00012_1,2,2021-09-16,2021-09-16,114,114,0,0,0
369,12,L00012_1,3,2021-10-16,2021-10-30,397,397,14,0,0
370,12,L00012_1,4,2021-11-15,2021-11-16,395,395,1,0,0
371,12,L00012_1,5,2021-12-15,2021-12-18,391,391,3,0,0
372,12,L00012_1,6,2022-01-14,2022-01-14,100,100,0,0,0
373,12,L00012_1,7,2022-02-13,2022-02-22,500,500,9,0,0
374,12,L00012_1,8,2022-03-15,2022-03-21,827,827,6,0,0
375,12,L00012_1,9,2022-04-14,2022-04-23,357,357,9,0,0
376,12,L00012_1,10,2022-05-14,2022-05-27,137,137,13,0,0
377,12,L00012_1,11,2022-06-13,2022-06-29,378,378,16,1,0
378,12,L00012_1,12,2022-07-13,2022-07-13,279,279,0,0,0
379,12,L00012_1,13,2022-08-12,2022-08-16,177,177,4,0,0
380,12,L00012_1,14,2022-09-11,2022-09-27,638,638,16,1,0
381,12,L00012_1,15,2022-10-11,2022-10-11,231,231,0,0,0
382,12,L00012_1,16,2022-11-10,2022-11-10,228,228,0,0,0
383,12,L00012_1,17,2022-12-10,2022-12-13,719,719,3,0,0
384,12,L00012_1,18,2023-01-09,2023-01-29,129,129,20,1,0
385,12,L00012_2,1,2022-03-02,2022-03-02,804,804,0,0,0
